title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
Data Analysis Using R (Low Priced Edition): A Primer for Data Scientist,[ Dr Dhaval Maheta],6.75,6.75,500,4.4,23,55%,39%,6%,,,8.5 x 1.01 x 11 inches,2.53 pounds,English,Notion Press Media Pvt Ltd ,978-1685549596,/Data-Analysis-Using-Low-Priced/dp/1685549594/ref=sr_1_16?keywords=data+analysis&qid=1671164640&sr=8-16,https://www.amazon.com/Data-Analysis-Using-Low-Priced/dp/1685549594/ref=sr_1_16?keywords=data+analysis&qid=1671164640&sr=8-16
"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions",,33.72, 21.49 - 33.72 ,484,4.3,124,61%,20%,9%,4%,6%,8 x 0.98 x 9.25 inches,1.96 pounds,English,O'Reilly Media,978-0596153939,/Head-First-Data-Analysis-statistics/dp/0596153937/ref=sr_1_15?keywords=data+analysis&qid=1671164640&sr=8-15,https://www.amazon.com/Head-First-Data-Analysis-statistics/dp/0596153937/ref=sr_1_15?keywords=data+analysis&qid=1671164640&sr=8-15
Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,"[ Oz du Soleil,  and , Bill Jelen]",32.07,32.07,274,4.7,10,87%,13%,,,,8.25 x 0.6 x 10.75 inches,1.4 pounds,English,Holy Macro! Books,978-1615470747,/Guerrilla-Analysis-Using-Microsoft-Excel/dp/1615470743/ref=sr_1_14?keywords=data+analysis&qid=1671164640&sr=8-14,https://www.amazon.com/Guerrilla-Analysis-Using-Microsoft-Excel/dp/1615470743/ref=sr_1_14?keywords=data+analysis&qid=1671164640&sr=8-14
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",[ William McKinney],53.99,53.99,547,4.6,"1,686",75%,16%,5%,2%,2%,7 x 1.11 x 9.19 inches,1.47 pounds,English,O'Reilly Media,978-1491957660,/Python-Data-Analysis-Wrangling-IPython/dp/1491957662/ref=sr_1_11?keywords=data+analysis&qid=1671164640&sr=8-11,https://www.amazon.com/Python-Data-Analysis-Wrangling-IPython/dp/1491957662/ref=sr_1_11?keywords=data+analysis&qid=1671164640&sr=8-11
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),[ Paul McFedries],24.49,24.49,368,3.9,12,52%,17%,10%,10%,10%,7.38 x 0.83 x 9.25 inches,1.3 pounds,English,For Dummies,978-1119844426,/Excel-Data-Analysis-Dummies-Computer/dp/1119844428/ref=sr_1_12?keywords=data+analysis&qid=1671164640&sr=8-12,https://www.amazon.com/Excel-Data-Analysis-Dummies-Computer/dp/1119844428/ref=sr_1_12?keywords=data+analysis&qid=1671164640&sr=8-12
Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights,,,,,4.2,31,61%,16%,14%,4%,5%,,,,,,/Everything-Data-Analytics-Beginners-Understanding/dp/B0B52FL5RT/ref=sr_1_10?keywords=data+analysis&qid=1671164640&sr=8-10,https://www.amazon.com/Everything-Data-Analytics-Beginners-Understanding/dp/B0B52FL5RT/ref=sr_1_10?keywords=data+analysis&qid=1671164640&sr=8-10
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,[ Cathy Tanimura],40.49,40.49,360,4.6,72,75%,18%,2%,2%,2%,6.75 x 0.75 x 8.75 inches,1.2 pounds,English,O'Reilly Media,978-1492088783,/SQL-Data-Analysis-Techniques-Transforming/dp/1492088781/ref=sr_1_9?keywords=data+analysis&qid=1671164640&sr=8-9,https://www.amazon.com/SQL-Data-Analysis-Techniques-Transforming/dp/1492088781/ref=sr_1_9?keywords=data+analysis&qid=1671164640&sr=8-9
Qualitative Data Analysis: A Methods Sourcebook,"[ Matthew B. Miles, A. Michael Huberman, et al.]",90,90,408,4.7,205,84%,9%,4%,2%,,8.5 x 0.92 x 11 inches,2.15 pounds,English,"SAGE Publications, Inc",Research in Drama Education,/Qualitative-Data-Analysis-Methods-Sourcebook/dp/150635307X/ref=sr_1_13?keywords=data+analysis&qid=1671164640&sr=8-13,https://www.amazon.com/Qualitative-Data-Analysis-Methods-Sourcebook/dp/150635307X/ref=sr_1_13?keywords=data+analysis&qid=1671164640&sr=8-13
Topological Data Analysis with Applications,"[ Gunnar Carlsson,  and , Mikael Vejdemo-Johansson]",54.19, 53.98 - 54.19 ,230,5,5,100%,,,,,6.75 x 0.75 x 9.75 inches,1.28 pounds,English,Cambridge University Press,978-1108838658,/Topological-Analysis-Applications-Gunnar-Carlsson/dp/1108838650/ref=sr_1_37?keywords=data+analysis&qid=1671164640&sr=8-37,https://www.amazon.com/Topological-Analysis-Applications-Gunnar-Carlsson/dp/1108838650/ref=sr_1_37?keywords=data+analysis&qid=1671164640&sr=8-37
"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse",[ Robert I. Kabacoff],56.99, 47.97 - 56.99 ,656,4.3,14,78%,11%,11%,,,7.38 x 1.5 x 9.25 inches,2.62 pounds,English,Manning,978-1617296055,/Action-Third-Robert-I-Kabacoff/dp/1617296058/ref=sr_1_60?keywords=data+analysis&qid=1671164640&sr=8-60,https://www.amazon.com/Action-Third-Robert-I-Kabacoff/dp/1617296058/ref=sr_1_60?keywords=data+analysis&qid=1671164640&sr=8-60
"Listening to People: A Practical Guide to Interviewing, Participant Observation, Data Analysis, and Writing It All Up (Chicago Guides to Writing, Editing, and Publishing)",,20,20,333,4.5,46,73%,13%,7%,3%,3%,6 x 0.9 x 9 inches,1.01 pounds,English,University of Chicago Press ,978-0226806433,/Listening-People-Interviewing-Participant-Observation/dp/022680643X/ref=sr_1_59?keywords=data+analysis&qid=1671164640&sr=8-59,https://www.amazon.com/Listening-People-Interviewing-Participant-Observation/dp/022680643X/ref=sr_1_59?keywords=data+analysis&qid=1671164640&sr=8-59
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL,[ Chad Knowles],15.97,15.97,106,4.9,201,91%,8%,1%,,,6 x 0.24 x 9 inches,7.5 ounces,English,Independently published ,979-8354008353,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0492571P7LVKSU93F2O&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-Data-Analytics-efficient-analysis%2Fdp%2FB0BG5JN89K%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-17-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0492571P7LVKSU93F2O&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-Data-Analytics-efficient-analysis%2Fdp%2FB0BG5JN89K%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-17-spons%26psc%3D1
Python for Beginners: 2 Books in 1: The Perfect Beginner's Guide to Learning How to Program with Python with a Crash Course + Workbook,"[ Programming Languages Academy, Matthew Kinsey, et al.]",,,,4.4,292,63%,22%,7%,3%,4%,,,,,,/Python-Beginners-Perfect-Learning-Workbook/dp/B084VHN9M6/ref=sr_1_59?keywords=python&qid=1671164641&sr=8-59,https://www.amazon.com/Python-Beginners-Perfect-Learning-Workbook/dp/B084VHN9M6/ref=sr_1_59?keywords=python&qid=1671164641&sr=8-59
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data ... Present Data Effectively (All Things Data)",,28.6,28.6,528,4.6,20,81%,11%,7%,,,6 x 1.19 x 9 inches,1.93 pounds,English,Kenneth M Fornari , ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A099800857YLNLKS5F3Q&qualifier=1671164640&id=6357489869092693&widgetName=sp_atf&url=%2FData-Analytics-Visualization-Communicating-Effectively%2Fdp%2F1777967198%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-1-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A099800857YLNLKS5F3Q&qualifier=1671164640&id=6357489869092693&widgetName=sp_atf&url=%2FData-Analytics-Visualization-Communicating-Effectively%2Fdp%2F1777967198%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-1-spons%26psc%3D1
Getting Started with Natural Language Processing,[ Ekaterina Kochmar],39.99,39.99,456,4,4,48%,52%,,,,7.38 x 1.1 x 9.25 inches,1.75 pounds,English,Manning , ,/Getting-Started-Natural-Language-Processing/dp/1617296767/ref=sr_1_60?keywords=python&qid=1671164641&sr=8-60,https://www.amazon.com/Getting-Started-Natural-Language-Processing/dp/1617296767/ref=sr_1_60?keywords=python&qid=1671164641&sr=8-60
